,Organisation,Investors,Location
335, CancerAid ," Artesian VC, Slingshot Accelerator"," Sydney, New South Wales, Australia, Oceania"
336, ClearCare , Battery Ventures," San Francisco, California, United States, North America"
337, Moderna Therapeutics , AstraZeneca," Cambridge, Massachusetts, United States, North America"
338, Fibrocell Science , — ," Exton, Pennsylvania, United States, North America"
339, Sleep.ai , StartUp Health," Nijmegen, Gelderland, The Netherlands, Europe"
340, Phico Therapeutics ," 24 Haymarket, Winton Ventures"," Cambridge, Cambridgeshire, United Kingdom, Europe"
341, OrganiGram ," Cormark Securities Inc., Dundee Securities, GMP Securities, Mackie Research Capital Corporation, PI Financial"," Moncton, Ontario, Canada, North America"
342, Hil Applied Medical , Ion Beam Applications," Jerusalem, Yerushalayim, Israel, Asia"
343, InDemand Interpreting , — ," Tukwila, Washington, United States, North America"
344, Docbot , eSeed Ventures," Irvine, California, United States, North America"
345, Physicians Endoscopy ," Guidon Partners, Kelso & Company"," Jamison, Pennsylvania, United States, North America"
346, Pathway Partners Vet Holding , Morgan Stanley," Austin, Texas, United States, North America"
347, AbsoluteCARE , — ," Baltimore, Maryland, United States, North America"
348, Airo Health , Y Combinator," Sunnyvale, California, United States, North America"
349, Densitas , Innovacorp," Halifax, Nova Scotia, Canada, North America"
350, Elemeno Health , Y Combinator," Oakland, California, United States, North America"
351, Singlera Genomics ," CD Capital, Green Pine Capital Partners, Lilly Asia Ventures"," La Jolla, California, United States, North America"
352, Oh My Green ," ACE & Company, Daniel Curran, Erik Peterson, FundersClub"," Burlingame, California, United States, North America"
353, Epitel , National Institutes of Health," Salt Lake City, Utah, United States, North America"
354, C D Services of America , — ," Andover, Massachusetts, United States, North America"
355, Aridis Pharmaceuticals , — ," San Jose, California, United States, North America"
356, Qura , StartUp Health," Framingham, Massachusetts, United States, North America"
357, Fate Therapeutics , — ," La Jolla, California, United States, North America"
358, CareDox ," 7wire Ventures, Access Industries, AI Life Sciences Investments, Digitalis Ventures, Prolog Ventures, StartUp Health, Wanxiang America Healthcare Investments Group"," New York, New York, United States, North America"
359, BLITAB Technology , — ," Vienna, Wien, Austria, Europe"
360, INBRACE , — ," Irvine, California, United States, North America"
361, Pack Health , — ," Birmingham, Alabama, United States, North America"
362, Visionly ," CDH Investments, Puhua Capital"," Daxing, Beijing, China, Asia"
363, Mentorum Inc. , ProMontreal Entrepreneurs," Montréal, Quebec, Canada, North America"
364, Clinique médicale privée Opti-Soins inc , Desjardins Venture Capital," Quebec, Quebec, Canada, North America"
365, Ossium Health , First Round Capital," San Francisco, California, United States, North America"
366, FULLCHEER , Yilao Touzi," Changshahsien, Hunan, China, Asia"
367, Nutrinia ," H.I.G. BioHealth Partners, OrbiMed, Pontifax, TPG Biotech, WuXi Healthcare Ventures"," Ramat Gan, Tel Aviv, Israel, Asia"
368, iCoreConnect , — ," Winter Garden, Florida, United States, North America"
369, ReVision Optics , Square 1 Bank," Lake Forest, California, United States, North America"
370, The Good Care Group , Business Growth Fund," London, England, United Kingdom, Europe"
371, Rock My World Media , Skullcandy," San Diego, California, United States, North America"
372, Barrecore , Octopus Ventures," London, England, United Kingdom, Europe"
373, Imbed Biosciences , WISC Partners," Fitchburg, Wisconsin, United States, North America"
374, Phoresa , National Science Foundation," Seattle, Washington, United States, North America"
375, Cologenomics , Nimble Ventures," Houston, Texas, United States, North America"
376, Epthera , Venture Kick," Oberengstringen, Zurich, Switzerland, Europe"
377, ProteoMediX ," Altos Ventures, Zürcher Kantonal Bank"," Schlieren, Zurich, Switzerland, Europe"
378, Oculis ," Brunnur Ventures, Silfurberg"," Reykjavík, Gullbringusysla, Iceland, Europe"
379, StethoMD , Venture Kick," Genève, Geneve, Switzerland, Europe"
380," Theragen, Inc ", Ballast Point Ventures," Manassas, Virginia, United States, North America"
381, Rotation Medical ," Life Sciences Partners, New Enterprise Associates, Pappas Ventures"," Plymouth, Minnesota, United States, North America"
382, HairRemoval.co.uk , — ," London, England, United Kingdom, Europe"
383, KB Medical , Foundation for Technological Innovation (FIT)," Lausanne, Vaud, Switzerland, Europe"
384, Tapa Healthcare , Enterprise Ireland," Dundalk, Louth, Ireland, Europe"
385, BodyFly Fitness , King Dunlap," San Diego, California, United States, North America"
386, PureCarbon , Tandem Capital," Los Altos, California, United States, North America"
387, Happify , — ," New York, New York, United States, North America"
388, Meiyou ," Cathay Capital Private Equity, K2VC, Matrix Partners China"," Xiamen, Fujian, China, Asia"
389, The Rounds , East Valley Ventures," Halifax, Nova Scotia, Canada, North America"
390, CareLinx ," Alumni Ventures Group, Green D Ventures"," San Bruno, California, United States, North America"
391, Bloomlife ," Act One Ventures, CAA Ventures, HAX Boost, Kapor Capital, Lanza Tech Ventures, LeanSquare, Liquid 2 Ventures, Marc Benioff, Mark Goldstein, Meusinvest (Noshaq), Pallasite Ventures, Plug and Play, SOSV, The Chernin Group"," San Francisco, California, United States, North America"
392, Medtronic , Trade Capital Funding," Minneapolis, Minnesota, United States, North America"
393, PetCoach ," Comcast Ventures, Dreamit Ventures, Maveron"," Wayne, Pennsylvania, United States, North America"
394, PriorAuthNow ," NCT Ventures, Rev1 Ventures"," Columbus, Ohio, United States, North America"
395, 3D Bio Holdings , — ," New York, New York, United States, North America"
396, Navinata Health , Newark Venture Partners," Princeton, New Jersey, United States, North America"
397, Live Better With ," Downing Ventures, Fig VC, Forward Partners, London Co-Investment Fund, Wild Blue Cohort"," London, England, United Kingdom, Europe"
398, SimpleVisit , StartUp Health," Baltimore, Maryland, United States, North America"
399, Epharmix ," 1517 Fund, Bold Capital Partners, HealthX Ventures, iSELECT FUND"," St Louis, Missouri, United States, North America"
400, HydroMassage , North Castle Partners," Clearwater, Florida, United States, North America"
401, Teatox GmbH , ProSiebenSat.1 Media SE," Berlin, Berlin, Germany, Europe"
402, ORTHOReBIRTH , Kaigen Pharma," Georgetown, Texas, United States, North America"
403, Apos Therapy , — ," New York, New York, United States, North America"
404, IngagePatient , — ," Franklin, Tennessee, United States, North America"
405, ProCARE Portal , — ," Atlanta, Georgia, United States, North America"
406, Cytocentrics , — ," Rostock, Mecklenburg-Vorpommern, Germany, Europe"
407, Interleukin Genetics , — ," Waltham, Massachusetts, United States, North America"
408, Medicrea , — ," Lyon, Rhone-Alpes, France, Europe"
409, MDsave , — ," Brentwood, Tennessee, United States, North America"
410, Lua , — ," New York, New York, United States, North America"
411, CYCARES , Horus Capital," Beijing, Beijing, China, Asia"
412, Maya , BRAC," Dhaka, Dhaka, Bangladesh, Asia"
413, Numex , Venture Kick," Dietikon, Zurich, Switzerland, Europe"
414, EMPATHIQ , Lighter Capital," San Diego, California, United States, North America"
415, Frontida Biopharm , — ," Exton, Pennsylvania, United States, North America"
416, CSATS ," HealthTech Capital, MedTech Innovator"," Seattle, Washington, United States, North America"
417, Healthcare X.0 - HealthAssist , — ," Hameln, Niedersachsen, Germany, Europe"
418, CareSkore ," Cota Capital, Liquid 2 Ventures, Rising Tide, SGH CAPITAL, Shu Duan, Storm Ventures, Wei Guo"," Mountain View, California, United States, North America"
419, Auris Health , — ," Redwood City, California, United States, North America"
420, CVRx , Oxford Finance LLC," Minneapolis, Minnesota, United States, North America"
421," GSIL Co., Ltd. ", Bigbang Angels," Seongnam, Kyonggi-do, South Korea, Asia"
422," Cardiomo Care, Inc. ", Starta Accelerator," New York, New York, United States, North America"
423, Autism Home Support Services , — ," Northbrook, Illinois, United States, North America"
424, Woundtech , Aldrich Capital Partners," Hollywood, Florida, United States, North America"
425, electroCore , — ," Basking Ridge, New Jersey, United States, North America"
426, Tricog Health ," Blume Ventures, Inventus Capital"," Singapore, Central Region, Singapore, Asia"
427, jkwin.com.cn ," CICC, Hainan Huantai Equity Investment Fund Management, Renfu Dacheng Touzi, Yilin Guquan Touzi"," Jiulongpo, Chongqing, China, Asia"
428, Homey Health ," Dacheng Innovative Capital Management, Yujiangxian Ganghong Touzi"," Guangzhou, Guangdong, China, Asia"
429, Fangcun Doctor , Shunwei Capital," Beijing, Beijing, China, Asia"
430, PUPPY TOWN ANIMAL HOSPITAL , Hillhouse Capital Group," Haidian, Beijing, China, Asia"
431, Li Mishu , Tenplus Ventures," Nanshanqu, Guangdong, China, Asia"
432, Deton , — ," Pasadena, California, United States, North America"
433, London Doctors Clinic , Crowdcube," London, England, United Kingdom, Europe"
434, Ambrx ," Apricot Capital, Everbright, HOPU Investment Management Company, Northeast Securities, Sinopharm Holding"," La Jolla, California, United States, North America"
435, Meijer , — ," Grand Rapids, Michigan, United States, North America"
436, Scancell , Calculus Capital," Nottingham, Nottingham, United Kingdom, Europe"
437, DNAtriX , Food and Drug Administration," Houston, Texas, United States, North America"
438, Shatterproof , Cigna," Norwalk, Connecticut, United States, North America"
439, Betterpath , — ," Brooklyn, New York, United States, North America"
440, Elation Health ," Charlie Cheever, Martha H. Marsh, Threshold"," San Francisco, California, United States, North America"
441, Bear Mam Home , T-Rex Capital," Beijing, Beijing, China, Asia"
442, Sequence Bio ," DCVC, Killick Capital, Klister Credit, NL Ventures"," St. John's, Newfoundland, Canada, North America"
443, Uprise , muru-D," Sydney, New South Wales, Australia, Oceania"
444, OpenTempo , — ," South Burlington, Vermont, United States, North America"
445, Ornim Medical ," GE Ventures, LongTec China Ventures, OrbiMed"," Lod, HaMerkaz, Israel, Asia"
446, Revision Skincare , RoundTable Healthcare Partners," Irving, Texas, United States, North America"
447, eCare Vault , — ," Boston, Massachusetts, United States, North America"
448, Haoyayi ," Matrix Partners China, Shanghai Guijing Ziben, Shanghai Liying Ziben"," Haidian, Beijing, China, Asia"
449, XIKANG ," Alps Alpine, PICC Asset Management"," Shenyang, Liaoning, China, Asia"
450, OutSense , Peregrine Ventures," Nahsholim, Hefa, Israel, Asia"
451, BioBreath , KAUST Innovation Fund," Vancouver, British Columbia, Canada, North America"
452, Tunefork , Israel Innovation Authority," Jerusalem, Yerushalayim, Israel, Asia"
453, WorkWell Prevention & Care , Trinity Capital," Duluth, Minnesota, United States, North America"
454, FitSprint , — ," London, England, United Kingdom, Europe"
455, Vivametrica , Plug and Play Insurtech," Calgary, Alberta, Canada, North America"
456, Aenitis Technologies , EASME - EU Executive Agency for SMEs," Paris, Ile-de-France, France, Europe"
457, RistCall , ZeroTo510," Philadelphia, Pennsylvania, United States, North America"
458, Lemonaid Health , — ," San Francisco, California, United States, North America"
459, Medpick , — ," Bengaluru, Karnataka, India, Asia"
460, Saccadous , — ," Scottsdale, Arizona, United States, North America"
461, Artemis Health ," Maverick Ventures, Rose Park Advisors"," Salt Lake City, Utah, United States, North America"
462, IM Your Doc , — ," Mercer Island, Washington, United States, North America"
463, Bioniz Therapeutics ," Cota Capital, David Pyott, Signatures Capital, Takeda Ventures"," Irvine, California, United States, North America"
464, Ovumhospitals ," ILFS Investment Managers, Norwest Venture Partners"," Bangalore, Karnataka, India, Asia"
465, KeyNatura , EASME - EU Executive Agency for SMEs," Kópavogur, Gullbringusysla, Iceland, Europe"
466, Mitsufuji , ArTra," Kyoto, Kyoto, Japan, Asia"
467, OnTrack , — ," New York, New York, United States, North America"
468, Dr.Kitchen ," HG Initiative, Kakao Ventures"," Daejeon, Taejon-jikhalsi, South Korea, Asia"
469, Ar Diagnostic , EASME - EU Executive Agency for SMEs," Faro, Faro, Portugal, Europe"
470, Mimi Hearing Technologies ," Groupe Arnault, Saarbruecker 21"," Berlin, Berlin, Germany, Europe"
471, Fitternity , Exfinity Venture Partners," Pune, Maharashtra, India, Asia"
472, DiA Imaging Analysis , Office of the Chief Scientist," Be'er Sheva, HaDarom, Israel, Asia"
473," Klogene Therapeutics, Inc. ", — ," Boston, Massachusetts, United States, North America"
474, Uplifers ," Arya Women's Investment Platform, Galata Business Angels"," Istanbul, Istanbul, Turkey, Europe"
475, Rumble , Laconia Ventures," New York, New York, United States, North America"
476, Myroo Skincare , — ," Harrogate, North Yorkshire, United Kingdom, Europe"
