,Round
840, Venture Round - Tonic Health 
841, Series B - ClinicPoint 
842, Series C - Earlens Corporation 
843, Venture Round - Metabolomic Diagnostics 
844, Grant - dfusion 
845, Debt Financing - Ocunexus Therapeutics 
846, Venture Round - Carson Life 
847, Venture Round - Veritas Collaborative 
848, Seed Round - Belluscura 
849, Seed Round - Vade Nutrition 
850, Seed Round - George Medical Getaway 
851, Grant - St. Joseph Community Health Foundation 
852, Series A - Psyomics 
853, Venture Round - Cordata Healthcare Innovations 
854, Seed Round - DocDelta 
855, Post-IPO Debt - Nevro 
856, Convertible Note - IncludeHealth 
857, Angel Round - xRapid 
858, Seed Round - Nanit 
859, Venture Round - Myocardial Solutions 
860, Funding Round - Testmyblood 
861, Seed Round - FingerN 
862, Series B - Rgenix 
863, Private Equity Round - Navicure 
864, Venture Round - Moodpath 
865, Series A - AIJIYIN.COM.CN 
866, Series A - League 
867, Seed Round - Beacon Biomedical 
868, Series A - Weimai 
869, Venture Round - Mymowo 
870, Pre Seed Round - Cíngulo 
871, Series A - Think Research 
872, Seed Round - AVA 
873, Debt Financing - y prime 
874, Debt Financing - Medical Simulation 
875, Venture Round - Ampersand Health 
876, Series A - Curejoy 
877, Venture Round - Newronika 
878, Post-IPO Equity - Achaogen 
879, Post-IPO Debt - Medrx 
880, Series B - Talkspace 
881, Venture Round - ZY Therapeutics 
882, Series C - Alcresta 
883, Seed Round - CircleLink Health 
884, Pre Seed Round - LiteLiMS 
885, Seed Round - Juvo Labs 
886, Pre Seed Round - PharmaBiome 
887, Series B - Lumere 
888, Venture Round - Radialis Medical 
889, Series A - Yaomaitong 
890, Seed Round - Thorasys 
891, Venture Round - Vomaris Innovations 
892, Series A - Alpine Immune Sciences 
893, Funding Round - Surgimatix 
894, Venture Round - Addis Pharmaceutical Factory 
895, Venture Round - NeuSpera Medical 
896, Equity Crowdfunding - Energie Group 
897, Seed Round - Sleepio 
898, Series D - Suneva Medical 
899, Seed Round - Clarify Health Solutions 
900, Seed Round - PersonalCare Systems™ - PCS 
901, Venture Round - Cohero Health 
902, Seed Round - Care Technology Solutions 
903, Debt Financing - ReCor Medical 
904, Venture Round - Medxnote 
905, Debt Financing - Stage I Diagnostics 
906, Convertible Note - Hidrate 
907, Grant - Lineage Cell Therapeutics 
908, Debt Financing - Valley Healthcare Staffing 
909, Seed Round - Infermedica 
910, Venture Round - The Medical Memory 
911, Post-IPO Equity - MetaStat 
912, Seed Round - WhiteCoat Healthcare 
913, Product Crowdfunding - Eve Medical 
914, Post-IPO Equity - Mereo Biopharma 
915, Venture Round - Murata Vios 
916, Seed Round - Certa Dose 
917, Seed Round - CargoSense 
918, Seed Round - Freenome 
919, Seed Round - Palash IVF 
920, Grant - Roobrik 
921, Post-IPO Debt - Nephros 
922, Series A - Sport Heroes 
923, Grant - Siren 
924, Series B - ePatientFinder 
925, Grant - Tasso 
926, Angel Round - HENGMEISHIGUANG 
927, Seed Round - Kiromic Biopharma 
928, Post-IPO Equity - AirXpanders 
929, Seed Round - Guardion Health Sciences 
930, Series B - Fabric Genomics (formerly Omicia) 
931, Funding Round - Neeuro 
932, Grant - FASTinov 
933, Venture Round - Airinum 
934, Debt Financing - Hygea Holdings 
935, Debt Financing - Stemina Biomarker Discovery 
936, Post-IPO Equity - Ultragenyx Pharmaceutical 
937, Non Equity Assistance - Moja 
938, Series A - RetraceHealth 
939, Grant - Emory University 
940, Seed Round - VisCardia 
941, Seed Round - Biorna Quantics 
942, Private Equity Round - Hygea Holdings 
943, Seed Round - Kwema 
944, Convertible Note - Delcath Systems 
945, Venture Round - HistoWiz 
946, Non Equity Assistance - MedRx App 
947, Series A - Fog Pharmaceuticals 
948," Seed Round - Heather's Choice, LLC "
949, Non Equity Assistance - HealthFacts 
950, Non Equity Assistance - SmartPrac 
951, Series C - DocPlanner 
952, Private Equity Round - OptiScan Biomedical 
953, Series C - Jiff 
954, Non Equity Assistance - ConnectMed 
955, Venture Round - EBH Holding Company 
956, Non Equity Assistance - CaringHand 
957, Grant - Lymphatica Medtech 
958, Seed Round - Karate Health 
959, Series A - Qiang Sen International Community Medical 
960, Series A - BioFluidica 
961, Seed Round - NeoLight 
962, Seed Round - Felix Gray 
963, Angel Round - FitBliss 
964, Seed Round - Sober Grid 
965, Seed Round - Chromis Therapeutics 
966, Series A - Reactive Robotics 
967, Seed Round - Vitaeris 
968, Seed Round - MedCircle 
969, Seed Round - Aegle Gear 
970, Seed Round - BioFab 
971, Venture Round - Stemina Biomarker Discovery 
972, Non Equity Assistance - Janus Choice 
973, Seed Round - DAMAE Medical 
974, Debt Financing - Protea Biosciences 
975, Series A - Valify 
976, Venture Round - BetterDoctor 
977, Series D - Netpulse 
978, Seed Round - All Shades Covered 
979, Product Crowdfunding - Vi 
980, Pre Seed Round - Mymeleon AG 
981, Venture Round - 66nao Brain Training 
982, Series B - Yitu Technology 
983, Series A - InFlectis BioScience 
984, Seed Round - Doctor In Your Pocket 
985, Series A - Engender Technologies 
986, Grant - ​Brainminer Ltd 
987, Post-IPO Equity - NeuroMetrix 
988, Venture Round - ViiMed 
989, Post-IPO Equity - Iovance Biotherapeutics 
990, Post-IPO Equity - Nektar Therapeutics 
991, Series A - Fruit Street 
992, Equity Crowdfunding - Positivitea 
993, Seed Round - Medella Health 
994, Angel Round - icliniq 
995, Series B - CMLabs 
996, Series B - Evidation Health 
997, Venture Round - Waiakea Water 
998, Seed Round - GeneAdviser 
999, Debt Financing - Flowonix 
1000, Series A - Mastiline 
1001, Venture Round - Cell Design Labs 
1002, Series B - VitalConnect 
1003, Post-IPO Equity - Asensus Surgical 
1004, Debt Financing - Mirabilis Medical 
1005, Angel Round - Nursing Home 
1006, Angel Round - Boheyayi 
1007, Series A - Reveleer 
1008, Series A - Reveleer 
1009, Angel Round - DR.BEI 
1010, Angel Round - RELIABLE 
1011, Post-IPO Equity - Sankai 
1012, Seed Round - YY Band 
1013, Seed Round - Everly 
1014, Grant - mySkin 
1015, Debt Financing - Cisbio.com 
1016, Seed Round - Hint Health 
1017, Non Equity Assistance - My-healthconnect 
1018, Non Equity Assistance - Cykul 
1019, Non Equity Assistance - SmartLabs 
1020, Pre Seed Round - GBC-HpVac 
1021, Seed Round - KlinikumPlus 
1022, Venture Round - Intezyne Technologies 
1023, Seed Round - Gula 
1024, Grant - SilverCloud Health 
1025, Grant - Tempo 
1026, Series A - Strata Oncology 
1027, Venture Round - Endoluxe 
1028, Grant - Madorra 
1029, Grant - 1Drop Diagnostics 
1030, Non Equity Assistance - Equisense 
1031, Seed Round - TrooFoods 
1032, Non Equity Assistance - Lumiere 
1033, Seed Round - Gedea Biotech 
1034, Angel Round - MedLabz.com 
1035, Series B - Geneseeq 
1036, Seed Round - Totokan Inc. 
1037, Private Equity Round - Factory CRO 
1038, Seed Round - Antera Therapeutics 
1039, Non Equity Assistance - iTreatMD 
1040, Grant - NeuroPrex 
1041, Pre Seed Round - Rumble 
1042, Seed Round - WeGrow 
1043, Seed Round - Abogen 
1044, Venture Round - ProFactor Pharma 
1045, Grant - Access for Life 
1046, Grant - GlucoSet 
1047, Grant - Catalia Health 
1048, Seed Round - RespiHeart 
1049, Grant - Augmedics 
1050, Seed Round - Curamicus 
1051, Seed Round - Retina Labs 
1052, Seed Round - Osimis 
1053, Seed Round - Heal 
1054, Grant - Aglaris Ltd 
1055, Seed Round - MIRA Rehab 
1056, Seed Round - Parsley Health 
1057, Seed Round - Rabble 
1058, Pre Seed Round - Moving Analytics 
1059, Seed Round - Worldish 
1060, Private Equity Round - QGenda 
1061, Seed Round - Quick'rCare 
1062, Seed Round - Decodeon 
1063, Pre Seed Round - Contraline 
1064, Non Equity Assistance - First Derm (iDoc24 Inc) 
1065, Post-IPO Equity - Titan Medical 
1066, Grant - Omsbar Ltd 
1067, Series A - Elysium 
1068, Angel Round - Veyo Care 
1069, Seed Round - Zebra Academy 
1070, Series A - Welcome Technologies 
1071, Grant - Spry Health 
1072, Seed Round - Awair 
1073, Seed Round - Nwtn-Berlin GmbH 
1074, Seed Round - healthcoin 
1075, Pre Seed Round - oladoc.com 
1076, Angel Round - Rotex Tech 
1077, Non Equity Assistance - Telelytics.io 
1078, Seed Round - Granta 
1079, Seed Round - Pridiktiv NV 
1080, Seed Round - Rithmi 
1081, Private Equity Round - Medcell 
1082, Venture Round - Forge Life Science 
1083, Angel Round - Contagiend Solutions 
1084, Non Equity Assistance - Cocoon Cam 
1085, Seed Round - Motinno 
1086, Grant - WestFace Medical 
1087, Grant - Trilobite Microsystems 
1088, Angel Round - Longi 
1089, Seed Round - Simple Wearables 
1090, Series B - AccuraGen Holdings 
1091," Seed Round - Refresh Body, INC "
1092, Grant - Tueo Health 
1093, Series A - Intendu 
1094, Grant - Linear Health Sciences 
1095, Seed Round - Filterlex Medical 
1096, Seed Round - InfiCure Bio 
1097, Post-IPO Debt - Cardiome Pharma 
1098, Series A - RubiconMD 
1099, Seed Round - Cura 
1100, Grant - Mcule 
1101, Grant - Vetex Medical 
1102, Seed Round - Kaia Health 
1103, Seed Round - Inverse 
1104, Seed Round - VITL 
1105, Pre Seed Round - Magentiq Eye Ltd 
1106, Pre Seed Round - OnCall Health 
1107, Grant - SafeHeal 
1108, Grant - Omini Pharma srls 
1109, Grant - V-Sense Medical 
1110, Venture Round - Ryboquin 
1111, Post-IPO Equity - OvaScience 
1112, Seed Round - Ouihelp 
1113, Seed Round - Akcelis 
1114, Grant - Cor 
1115, Series G - EarlySense 
1116, Grant - Oncovision 
1117, Grant - Expeda 
1118, Pre Seed Round - NeuroHydrate 
1119, Seed Round - mobiCTG 
1120, Grant - Vitaclick 
1121, Funding Round - Singulex 
1122, Grant - IDinsight 
1123, Post-IPO Equity - OpGen 
1124, Grant - Opionato 
1125, Grant - IMPULS.pl 
1126, Seed Round - Direktio 
1127, Venture Round - Ixaltis 
1128, Seed Round - Metamason 
1129, Seed Round - PlayHard GiveBack 
1130, Venture Round - PharmaCielo 
1131, Seed Round - Sol Global investments 
1132, Equity Crowdfunding - Cebiotex 
1133, Seed Round - Embark 
1134, Post-IPO Equity - Arch Therapeutics 
1135, Venture Round - 1mg 
1136, Series C - Codoon 
1137, Non Equity Assistance - HealthNEXT 
1138, Series F - Spine Wave 
1139, Equity Crowdfunding - Braingaze 
1140, Series B - Nuna Incorporated 
1141, Angel Round - SUNROAM GROUP 
1142, Angel Round - Gancao 
1143, Non Equity Assistance - SIME 
1144, Funding Round - Dinbeat 
1145, Seed Round - Skinlabo 
1146, Angel Round - Chongxin Chongwu 
1147, Seed Round - Milo Biotechnology 
1148, Seed Round - Visit 
1149, Seed Round - KAKEHASHI 
1150, Seed Round - NX Development Corp. 
1151, Venture Round - Trak 
1152, Seed Round - Pianta 
1153, Seed Round - CNSDose 
1154, Series A - 360 Haoyao 
1155, Series C - Aleva Neurotherapeutics 
1156, Series A - Podimetrics 
1157, Debt Financing - Aspire Bariatrics 
1158, Venture Round - EagleDream Health 
1159, Pre Seed Round - Cognuse 
1160, Pre Seed Round - Saloniz 
1161, Series A - Axio Biosolutions 
1162, Series F - TransMedics 
1163, Post-IPO Equity - PURE Bioscience 
1164, Series B - Lumiata 
1165, Grant - Mayo Clinic 
1166, Seed Round - YiYiKao 
1167, Seed Round - Forward 
1168, Series B - Dr.Seek 
1169, Venture Round - SWITCH Materials 
1170, Series A - Insight Timer 
1171, Grant - EpiEndo Pharmaceuticals 
1172, Seed Round - Aaptiv 
1173, Series A - Arrivo BioVentures LLC 
1174, Seed Round - Dina Care 
1175, Venture Round - Advanced Proteome Therapeutics 
1176, Series C - Cisiv 
1177, Seed Round - ProVerum Medical 
1178, Venture Round - Daktari Diagnostics 
1179, Seed Round - Appili Therapeutics 
1180, Seed Round - Wellth 
1181, Series A - AddressHealth 
1182, Seed Round - Devicare 
1183, Venture Round - Route 92 Medical 
1184, Series B - Longwill 
1185, Seed Round - Yuer Wenyiwen 
1186, Series A - Sensifree 
1187, Seed Round - Molekule 
1188, Venture Round - AltusLearn 
1189, Venture Round - Elicio Therapeutics 
1190, Seed Round - RistCall 
1191, Series D - Apixio 
1192, Seed Round - Humon 
1193, Series A - SilverVue 
1194, Venture Round - Beacon Specialized Living Services 
1195, Venture Round - FluGen 
1196, Seed Round - Nucleix 
1197, Venture Round - Neoclone 
1198, Venture Round - Operative Experience 
1199, Venture Round - Isomark 
1200, Venture Round - Quietyme 
1201, Post-IPO Equity - Mesoblast 
1202, Funding Round - OR Productivity 
1203, Venture Round - Intellivisit 
1204, Venture Round - First Patient 
1205, Venture Round - Global Pharmacy Solutions 
1206, Pre Seed Round - HDL Diagnostics 
1207, Venture Round - Medical Engineering Innovations (MEI) 
1208, Series A - Pegwin 
1209, Venture Round - VuEssence 
1210, Venture Round - CardioNXT 
1211, Venture Round - Clarity Pharmaceuticals 
1212, Seed Round - Branch2 
1213, Seed Round - Arcatron Mobility 
1214, Venture Round - Microscopy Innovations 
1215, Venture Round - Neuraltus Pharmaceuticals 
1216, Venture Round - NovaScan 
1217, Venture Round - GrandCare Systems 
1218, Seed Round - FloraSeq 
1219, Debt Financing - Stabiliz Orthopaedics 
1220, Seed Round - Raremark 
1221, Debt Financing - Mellitus 
1222, Venture Round - 12 Labs 
1223, Post-IPO Equity - Cancer Genetics 
1224, Series A - BrightWater Medical 
1225, Venture Round - Eso Technologies 
1226, Seed Round - Care Guidance 
1227, Series B - COTA Healthcare 
1228, Series B - Zebra Medical Vision 
1229, Series A - yuguo.cn 
1230, Series B - Medasense 
1231, Grant - Gamida Cell 
1232, Angel Round - Tiger LifeScience 
1233, Debt Financing - Miramar Labs 
1234, Debt Financing - ALSP 
1235, Post-IPO Equity - NeuralStem 
1236, Series B - Definigen 
1237, Pre Seed Round - Teqoya 
1238, Post-IPO Equity - Emerald Medical Applications 
1239, Seed Round - ROCK PAMPER SCISSORS 
1240, Convertible Note - mybestbox 
1241, Angel Round - InnaMed 
1242, Venture Round - Curapel 
1243, Pre Seed Round - Geneticure 
1244, Series C - Clover Health 
1245, Series A - Ping An Good Doctor 
1246, Series B - FitSAMO 
1247, Seed Round - Pratter 
1248, Post-IPO Equity - NovaBay Pharmaceuticals 
1249, Post-IPO Equity - Nuo Therapeutics 
1250, Series D - HeartFlow 
1251, Venture Round - Cerebrotech Medical Systems 
1252, Angel Round - Ample Foods 
1253, Equity Crowdfunding - Tossed 
1254, Post-IPO Equity - Cardax Pharma 
1255, Series B - Empire Genomics 
1256, Seed Round - Scribens Project 
1257, Convertible Note - Qualaris Healthcare Solutions 
1258, Seed Round - TYDE 
1259, Series A - APRINOIA Therapeutics 
1260, Seed Round - Sempre Health 
1261, Seed Round - Soundbite Medical Solutions 
1262, Series A - Stem Cell & Device Laboratory 
1263, Venture Round - Mumms Software 
1264, Series A - Springbuk 
1265, Seed Round - Medical 21 
1266, Grant - BACtrack 
1267, Venture Round - Bone Solutions 
1268, Funding Round - Airwatergreen 
1269, Seed Round - Uniform Teeth 
1270, Seed Round - AffirmHealth 
1271, Venture Round - Pelican Therapeutics 
1272, Seed Round - Health QR Inc. 
1273, Series A - Nima 
1274, Venture Round - Allurion Technologies 
1275, Seed Round - PurpleHealth 
1276, Seed Round - burstIQ 
1277, Series A - VirtualHealth 
1278, Venture Round - Euclises Pharmaceuticals 
1279, Series B - Decisio Health 
1280, Venture Round - Akira 
1281, Debt Financing - CardioFocus 
1282, Post-IPO Debt - WellQuest Medical & Wellness 
1283, Seed Round - Stryd 
1284, Seed Round - SpeechVive 
1285, Pre Seed Round - The Pill Club 
1286, Grant - SpeechVive 
1287, Angel Round - Shuimu Jiyin 
1288, Series A - Nouscom 
1289, Series E - Mitralign 
1290, Series A - Purigen Biosystems 
1291, Funding Round - Vitargent 
1292, Seed Round - Noble.MD 
1293, Venture Round - Scilex Pharmaceuticals 
1294, Seed Round - MyCareLine 
1295," Venture Round - Double H, Inc. "
1296, Angel Round - Quiknos 
1297, Post-IPO Debt - Omeros 
1298, Series A - Agenovir Corporation 
1299, Seed Round - Healthify 
1300, Seed Round - Kokoon Technology 
1301, Angel Round - Caihong Yuer 
1302, Series A - Manyoubang 
1303, Series A - ReadySet Surgical 
1304, Venture Round - SpeciCare 
1305, Venture Round - Salud Facil 
1306, Pre Seed Round - Healthcare Matrix 
1307, Debt Financing - AcuFocus 
1308, Venture Round - Rigenerand Srl 
1309, Venture Round - Edvince 
1310, Non Equity Assistance - Miroculus 
1311, Series A - Evox Therapeutics 
1312, Venture Round - ExThera Medical 
1313, Series A - Healthcare Interactive 
1314, Seed Round - CollaboDoc 
1315, Series B - ExThera Medical 
1316, Convertible Note - Viriom 
1317, Debt Financing - ExThera Medical 
1318, Pre Seed Round - CureFacts 
1319, Seed Round - Owl Insights 
1320, Venture Round - Irras 
1321, Venture Round - UIB International Maternity Care Center 
1322, Series B - microcardio 
1323, Angel Round - Yijiaqin 
1324, Seed Round - ProofPilot 
1325, Seed Round - Conversa Health 
1326, Angel Round - Smart Reporting 
1327, Series C - Evariant 
1328, Series A - Aptinyx 
1329, Seed Round - NovaVive Inc. 
1330, Seed Round - Desk Yogi 
1331, Venture Round - OxStem 
1332, Series A - Aqueduct Critical Care 
1333, Venture Round - Pillar Biosciences 
1334, Convertible Note - Regentys 
1335, Series A - HealthifyMe 
1336, Post-IPO Equity - Kintara Therapeutics 
1337, Private Equity Round - UIB 
1338, Angel Round - Dietox 
1339, Venture Round - SynGen 
1340, Debt Financing - VisionGate 
1341, Seed Round - Regroup Therapy 
1342, Seed Round - Health iPASS 
